ImageID;Mapstruct;PZnaam;TxtImageName;Postzegel_id;Jaar;Uitgiftedatum;Naam;Omschrijving;Kleur;Soort;Tanding;Opdrukwaarde ;BEF;Euro;Nummercode;Postfris met gom;Postfris zonder gom;Gestempeld met gom;Gestempeld zonder gom;Speciaal;Waarde postfris;Waarde gestempeld;Reeks
1597;;;g:\PostBelg1971\C1589.jpg;C1589;1971;19/06/1971;Zuidpoolovereenkomst. Verdrag van 1/12/1959;Zuidpoolbasis;;Postzegel;11 1/2;10,00;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;0,65;0,5;
3675;g:\PZ\PostBelg\;;;C3667;2007;7/07/2007;Zomerzegels. Vakantie;Vliegers;;Priorzegel;11 1/2;0,52;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,2;0,6;
3676;g:\PZ\PostBelg\;;;C3668;2007;7/07/2007;Zomerzegels. Vakantie;Kajaks;;Priorzegel;11 1/2;0,52;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,2;0,6;
3798;;;;C3790;2008;7/06/2008;Zomerzegels. Fietsen en Wandelen;Fietsen;;Postzegel;11 1/2;B1;ONWAAR;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,2;0,4;
3799;;;;C3791;2008;7/06/2008;Zomerzegels. Fietsen en Wandelen;Wandelen;;Postzegel;11 1/2;B1;ONWAAR;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,2;0,4;
4070;;;g:\PostBelg2010\CBL4035.jpg;CF4035;2010;;Zijne koninklijke hoogheid Prins Filip 50 - blad van 5 zegels;;;Postzegelvel;;2;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;0;0;
1604;;;g:\PostBelg1971\C1596.jpg;C1596;1971;24/05/1971;zie 1581A;;;;;;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;0;0;
3708;g:\PZ\PostBelg\;;;C3700;2007;1/10/2007;Zegel van de gepersonaliseerde reeksen Mijnzegel. Duostamp en Mediastamp. Zegel nr 3274 zonder priorlogo en met waardeaanduiding;Rode posthoorn;Rood;Postzegel;11 1/2;B1;ONWAAR;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,75;1,2;
2804;;;;C2796;1999;23/01/1999;Zeg het met een zegeltje. Gelegenheidsuitgiften. Postzegelboekje. Het zijn zegels zonder waarde, ze blijven onbeperkt geldig voor elke genormaliseerde brief bestemd voor het binnenland.;Gelukkige verjaardag;;Postzegelboekje;11 1/2;;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,5;0,4;
2805;;;;C2797;1999;23/01/1999;Zeg het met een zegeltje. Gelegenheidsuitgiften. Postzegelboekje. Het zijn zegels zonder waarde, ze blijven onbeperkt geldig voor elke genormaliseerde brief bestemd voor het binnenland.;Welkom;;Postzegelboekje;;;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,5;0,4;
2806;;;;C2798;1999;23/01/1999;Zeg het met een zegeltje. Gelegenheidsuitgiften. Postzegelboekje. Het zijn zegels zonder waarde, ze blijven onbeperkt geldig voor elke genormaliseerde brief bestemd voor het binnenland.;Eindelijk tijd;;Postzegelboekje;;;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,5;0,4;
2807;;;;C2799;1999;23/01/1999;Zeg het met een zegeltje. Gelegenheidsuitgiften. Postzegelboekje. Het zijn zegels zonder waarde, ze blijven onbeperkt geldig voor elke genormaliseerde brief bestemd voor het binnenland.;Zomaar;;Postzegelboekje;;;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,5;0,4;
2808;;;;C2800;1999;23/01/1999;Zeg het met een zegeltje. Gelegenheidsuitgiften. Postzegelboekje. Het zijn zegels zonder waarde, ze blijven onbeperkt geldig voor elke genormaliseerde brief bestemd voor het binnenland.;Proficiat;;Postzegelboekje;;;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,5;0,4;
2809;;;;C2801;1999;23/01/1999;Zeg het met een zegeltje. Gelegenheidsuitgiften. Postzegelboekje. Het zijn zegels zonder waarde, ze blijven onbeperkt geldig voor elke genormaliseerde brief bestemd voor het binnenland.;I Love You;;Postzegelboekje;;;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,5;0,4;
2810;;;;C2802;1999;23/01/1999;Zeg het met een zegeltje. Gelegenheidsuitgiften. Postzegelboekje. Het zijn zegels zonder waarde, ze blijven onbeperkt geldig voor elke genormaliseerde brief bestemd voor het binnenland.;Leve mama;;Postzegelboekje;;;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,5;0,4;
2811;;;;C2803;1999;23/01/1999;Zeg het met een zegeltje. Gelegenheidsuitgiften. Postzegelboekje. Het zijn zegels zonder waarde, ze blijven onbeperkt geldig voor elke genormaliseerde brief bestemd voor het binnenland.;Leve papa;;Postzegelboekje;;;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,5;0,4;
3703;g:\PZ\PostBelg\;;;C3695;2007;29/09/2007;Z. M. Koning Albert II. Nieuw type met nieuw frankeringssysteem;;rood;Postzegel;11 1/2;B1;ONWAAR;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1,2;0,2;
3704;g:\PZ\PostBelg\;;;C3696;2007;29/09/2007;Z. M. Koning Albert II. Nieuw type met nieuw frankeringssysteem;;donkergroen;Postzegel;11 1/2;B2;ONWAAR;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;2,4;0,9;
3705;g:\PZ\PostBelg\;;;C3697;2007;29/09/2007;Z. M. Koning Albert II. Nieuw type met nieuw frankeringssysteem;;donkerblauw;Postzegel;11 1/2;B3;ONWAAR;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;3,6;1,1;
3706;g:\PZ\PostBelg\;;;C3698;2007;29/09/2007;Z. M. Koning Albert II. Nieuw type met nieuw frankeringssysteem;;violet;Postzegel;11 1/2;B5;ONWAAR;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;9;8;
3707;g:\PZ\PostBelg\;;;C3699;2007;29/09/2007;Z. M. Koning Albert II. Nieuw type met nieuw frankeringssysteem;;bruin;Postzegel;11 1/2;B7;ONWAAR;ONWAAR;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;12;11;
1647;;;g:\PostBelg1972\C1639.jpg;C1639;1972;9/09/1972;William Lennox Cebtrum. Centrum te Ottignies voor de behandeling van epilepsie;Kenteken;;Postzegel;11 1/2;10,00;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;1;1;
1627;;;g:\PostBelg1972\C1619.jpg;C1619;1972;25/03/1972;Wereldcampagne voor het hart;;;Postzegel;11 1/2;7,00;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;0,5;0,35;
49;g:\PZ\PostBelg\;;g:\PostBelg1866\C0022.jpg;C0022;1866;;Wapen;;Grijs;Postzegel;0;0,01;WAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;ONWAAR;225;164;
